chain,segment,code,name,curType,reason,evidenceStatus,refs,triggerCat,candStatus,【审】newType,【审】newReason,【审】action,【审】note
ai-infra,光模块/高速互连,300308,中际旭创,direct,"全球光模块龙头,英伟达及北美四大云厂核心供应商,与集群扩展、速率迭代强绑定",verified,available,,,direct,,keep,直接映射通过；reason 建议从“龙头”改为“所处环节+短传导路径+验证点”。
ai-infra,光模块/高速互连,300502,新易盛,direct,"北美云厂 800G/1.6T 主力二供,海外订单占比高,映射海外算力投入",verified,available,,,direct,,keep,直接映射通过；reason 建议从“龙头”改为“所处环节+短传导路径+验证点”。
ai-infra,光模块/高速互连,300394,天孚通信,indirect,"向旭创/新易盛/Fabrinet 供光器件与光引擎,是「供应商的供应商」,对海外事件隔一层传导",partially_verified,partial,,,indirect,,keep,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,服务器/算力代工,601138,工业富联,direct,"全球 AI 服务器代工龙头,绑定英伟达/云厂出货,是 capex 出货的风向标",verified,available,,,direct,,keep,直接映射通过；reason 建议从“龙头”改为“所处环节+短传导路径+验证点”。
ai-infra,国产算力芯片,688041,海光信息,sentiment,"国产 CPU/DCU 替代标的,不直接给英伟达供货;与海外 AI 景气属国产替代的间接关联,建议看公开订单/收入自行核实",partially_verified,partial,,,sentiment,,keep,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,国产算力芯片,688256,寒武纪,sentiment,"国产 AI 芯片纯标的,靠国产订单放量而非海外事件直接驱动,属高波动标的",partially_verified,partial,,,sentiment,,keep,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,服务器内存接口/DDR5,688008,澜起科技,indirect,"内存接口芯片龙头,驱动是 DDR5 渗透与 AI 服务器内存用量;注意 HBM 集成在 GPU 封装内、不走它,别按 HBM 理解",partially_verified,partial,,,indirect,,keep,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,存储代理(HBM影子),300475,香农芯创,sentiment,"海力士存储代理,本质是代理生意、非自研 HBM,与 HBM 景气仅间接关联;高波动",needs_review,none,,,sentiment,,keep,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,先进封装/封测,600584,长电科技,indirect,"全球封测龙头,先进封装稼动率随全球 AI 芯片放量;AI 暴露占比需核实收入结构,叠加国产替代",partially_verified,partial,,,indirect,,keep,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,先进封装/封测,002156,通富微电,indirect,"深度绑定 AMD,先进封装与 AI 芯片封测订单,受海外 AI 放量间接带动",partially_verified,partial,,,indirect,,keep,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
