链id,链名,代码,名称,市场,环节,关系档,置信,证据状态,来源,证据缺失?,reason,【审】新关系档,【审】处理(保留/改档/移出/升级),【审】reviewStatus,【审】改reason或备注
ai-infra,AI 推理基础设施链,300308,中际旭创,CN,光模块/高速互连,direct,high,verified,insight,,"全球光模块龙头,英伟达及北美四大云厂核心供应商,与集群扩展、速率迭代强绑定",,保留,ok,直接映射通过；reason 建议从“龙头”改为“所处环节+短传导路径+验证点”。
ai-infra,AI 推理基础设施链,300502,新易盛,CN,光模块/高速互连,direct,high,verified,insight,,"北美云厂 800G/1.6T 主力二供,海外订单占比高,映射海外算力投入",,保留,ok,直接映射通过；reason 建议从“龙头”改为“所处环节+短传导路径+验证点”。
ai-infra,AI 推理基础设施链,300394,天孚通信,CN,光模块/高速互连,indirect,medium,partially_verified,insight,,"向旭创/新易盛/Fabrinet 供光器件与光引擎,是「供应商的供应商」,对海外事件隔一层传导",,保留,ok,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,AI 推理基础设施链,601138,工业富联,CN,服务器/算力代工,direct,high,verified,insight,,"全球 AI 服务器代工龙头,绑定英伟达/云厂出货,是 capex 出货的风向标",,保留,ok,直接映射通过；reason 建议从“龙头”改为“所处环节+短传导路径+验证点”。
ai-infra,AI 推理基础设施链,688041,海光信息,CN,国产算力芯片,sentiment,medium,partially_verified,insight,,"国产 CPU/DCU 替代标的,不直接给英伟达供货;与海外 AI 景气属国产替代的间接关联,建议看公开订单/收入自行核实",,保留,ok,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,AI 推理基础设施链,688256,寒武纪,CN,国产算力芯片,sentiment,medium,partially_verified,insight,,"国产 AI 芯片纯标的,靠国产订单放量而非海外事件直接驱动,属高波动标的",,保留,ok,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,AI 推理基础设施链,688008,澜起科技,CN,服务器内存接口/DDR5,indirect,medium,partially_verified,insight,,"内存接口芯片龙头,驱动是 DDR5 渗透与 AI 服务器内存用量;注意 HBM 集成在 GPU 封装内、不走它,别按 HBM 理解",,保留,ok,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,AI 推理基础设施链,300475,香农芯创,CN,存储代理(HBM影子),sentiment,low,needs_review,insight,,"海力士存储代理,本质是代理生意、非自研 HBM,与 HBM 景气仅间接关联;高波动",,保留,ok,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,AI 推理基础设施链,600584,长电科技,CN,先进封装/封测,indirect,medium,partially_verified,insight,,"全球封测龙头,先进封装稼动率随全球 AI 芯片放量;AI 暴露占比需核实收入结构,叠加国产替代",,保留,ok,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,AI 推理基础设施链,002156,通富微电,CN,先进封装/封测,indirect,medium,partially_verified,insight,,"深度绑定 AMD,先进封装与 AI 芯片封测订单,受海外 AI 放量间接带动",,保留,ok,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,AI 推理基础设施链,002837,英维克,CN,液冷/温控,indirect,medium,partially_verified,insight,,"数据中心液冷龙头,受液冷渗透率提升带动;下游以国内数据中心为主,与海外事件隔一层",remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,002130,沃尔核材,CN,铜连接/高速互连,indirect,medium,partially_verified,insight,,市场预期其受 GB 系统铜连接放量带动(供货关系待订单/公告验证);高波动,,保留,ok,当前档位通过；reason 需保留“为什么不是直接”的边界和验证点。
ai-infra,AI 推理基础设施链,300679,电连技术,CN,铜连接/高速互连,sentiment,low,needs_review,insight,,"主业消费电子/汽车连接器,AI 高速铜缆为新拓展、收入占比小、供货未见确认,需盯客户验证",,保留,ok,情绪/国产替代映射通过；避免写成海外直接传导。
ai-infra,AI 推理基础设施链,300693,盛弘股份,CN,数据中心电力,indirect,medium,partially_verified,insight,,"数据中心 HVDC/电力电子;但 DC 电源为其二线分部(主业充电桩/储能),占比待验证",remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,002518,科士达,CN,数据中心电力,indirect,medium,partially_verified,insight,,"数据中心 UPS/供配电 + 储能,受数据中心电力订单带动",remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
