"链id","链名","代码","名称","市场","环节","关系档","触发组","置信","证据状态","来源","reason"
"ai-infra","AI 推理基础设施链","300308","中际旭创","CN","光模块/高速互连","direct","","high","verified","insight","全球光模块龙头,英伟达及北美四大云厂核心供应商,与集群扩展、速率迭代强绑定"
"ai-infra","AI 推理基础设施链","300502","新易盛","CN","光模块/高速互连","direct","","high","verified","insight","北美云厂 800G/1.6T 主力二供,海外订单占比高,映射海外算力投入"
"ai-infra","AI 推理基础设施链","300394","天孚通信","CN","光模块/高速互连","indirect","","medium","partially_verified","insight","向旭创/新易盛/Fabrinet 供光器件与光引擎,是「供应商的供应商」,对海外事件隔一层传导"
"ai-infra","AI 推理基础设施链","601138","工业富联","CN","服务器/算力代工","direct","","high","verified","insight","全球 AI 服务器代工龙头,绑定英伟达/云厂出货,是 capex 出货的风向标"
"ai-infra","AI 推理基础设施链","688041","海光信息","CN","国产算力芯片","sentiment","","medium","partially_verified","insight","国产 CPU/DCU 替代标的,不直接给英伟达供货;与海外 AI 景气属国产替代的间接关联,建议看公开订单/收入自行核实"
"ai-infra","AI 推理基础设施链","688256","寒武纪","CN","国产算力芯片","sentiment","","medium","partially_verified","insight","国产 AI 芯片纯标的,靠国产订单放量而非海外事件直接驱动,属高波动标的"
"ai-infra","AI 推理基础设施链","688008","澜起科技","CN","服务器内存接口/DDR5","indirect","","medium","partially_verified","insight","内存接口芯片龙头,驱动是 DDR5 渗透与 AI 服务器内存用量;注意 HBM 集成在 GPU 封装内、不走它,别按 HBM 理解"
"ai-infra","AI 推理基础设施链","300475","香农芯创","CN","存储代理(HBM影子)","sentiment","","low","needs_review","insight","海力士存储代理,本质是代理生意、非自研 HBM,与 HBM 景气仅间接关联;高波动"
"ai-infra","AI 推理基础设施链","600584","长电科技","CN","先进封装/封测","indirect","","medium","partially_verified","insight","全球封测龙头,先进封装稼动率随全球 AI 芯片放量;AI 暴露占比需核实收入结构,叠加国产替代"
"ai-infra","AI 推理基础设施链","002156","通富微电","CN","先进封装/封测","indirect","","medium","partially_verified","insight","深度绑定 AMD,先进封装与 AI 芯片封测订单,受海外 AI 放量间接带动"
"ai-infra","AI 推理基础设施链","002837","英维克","CN","液冷/温控","indirect","","medium","partially_verified","insight","数据中心液冷龙头,受液冷渗透率提升带动;下游以国内数据中心为主,与海外事件隔一层"
"ai-infra","AI 推理基础设施链","002130","沃尔核材","CN","铜连接/高速互连","indirect","","medium","partially_verified","insight","市场预期其受 GB 系统铜连接放量带动(供货关系待订单/公告验证);高波动"
"ai-infra","AI 推理基础设施链","300679","电连技术","CN","铜连接/高速互连","sentiment","","low","needs_review","insight","主业消费电子/汽车连接器,AI 高速铜缆为新拓展、收入占比小、供货未见确认,需盯客户验证"
"ai-infra","AI 推理基础设施链","300693","盛弘股份","CN","数据中心电力","indirect","","medium","partially_verified","insight","数据中心 HVDC/电力电子;但 DC 电源为其二线分部(主业充电桩/储能),占比待验证"
"ai-infra","AI 推理基础设施链","002518","科士达","CN","数据中心电力","indirect","","medium","partially_verified","insight","数据中心 UPS/供配电 + 储能,受数据中心电力订单带动"
"ai-infra","AI 推理基础设施链","600875","东方电气","CN","数据中心电力/发电","sentiment","","low","needs_review","insight","发电装备,承接「算力耗电→发电需求」宏大叙事;传导链最长、映射最弱,本质是能源股"
"data-center-power","AI 数据中心电力基础设施链","300693","盛弘股份","CN","数据中心供配电 / HVDC","direct","","medium","partially_verified","insight","数据中心 HVDC / 电力电子,对标 Vertiv 电力侧,数据中心供配电业务暴露明确"
"data-center-power","AI 数据中心电力基础设施链","002518","科士达","CN","UPS / 数据中心电源","direct","","medium","partially_verified","insight","数据中心 UPS / 供电系统传导距离短,业务暴露明确;看数据中心 UPS 订单、客户结构、收入占比、毛利率"
"data-center-power","AI 数据中心电力基础设施链","002837","英维克","CN","数据中心液冷 / 温控","direct","","medium","partially_verified","insight","主营核心业务明确服务数据中心液冷 / 温控,传导路径可从「数据中心功率密度提升→散热系统升级→温控/液冷设备需求」直接解释"
"data-center-power","AI 数据中心电力基础设施链","301018","申菱环境","CN","数据中心专用温控","direct","","medium","partially_verified","insight","主营含数据中心专用空调与液冷系统,业务直接绑定数据中心散热,传导路径不超两跳"
"data-center-power","AI 数据中心电力基础设施链","688676","金盘科技","CN","供配电 / 干式变压器","direct","","medium","partially_verified","insight","数据中心供配电 / 干式变压器 / 数字化电力设备的直接映射样本;需看数据中心客户、干变订单、数字化电力收入与交付节奏验证(当前池内变压器环节仅此样本,后续按披露补充,详见分级说明)"
"data-center-power","AI 数据中心电力基础设施链","300249","依米康","CN","数据中心温控 / 机房环境控制","direct","","medium","partially_verified","insight","数据中心精密空调与机房环境控制属散热基础设施核心环节,传导路径直接;需看数据中心温控订单、客户项目、收入占比验证"
"data-center-power","AI 数据中心电力基础设施链","603912","佳力图","CN","数据中心精密空调 / 温控","direct","","medium","partially_verified","insight","机房精密空调是数据中心散热基础设施,传导路径直接;仍需数据中心客户、精密空调订单、收入占比验证"
"data-center-power","AI 数据中心电力基础设施链","002364","中恒电气","CN","电源 / HVDC","indirect","","medium","partially_verified","insight","HVDC 与数据中心供电系统相关,但仍需通过数据中心客户、项目订单和收入占比验证,先按间接映射处理(证据充分再上调直接)"
"data-center-power","AI 数据中心电力基础设施链","300870","欧陆通","CN","服务器电源","indirect","","medium","partially_verified","insight","服务器电源属服务器配套,给 AI 服务器供电但机房供配电暴露间接、传导多一跳,数据中心收入占比待验证"
"data-center-power","AI 数据中心电力基础设施链","300499","高澜股份","CN","液冷","indirect","","medium","partially_verified","insight","纯水冷却 / 液冷,数据中心 AI 暴露纯度与订单验证不足,需更多证据确认"
"data-center-power","AI 数据中心电力基础设施链","300990","同飞股份","CN","液冷 / CDU","indirect","","medium","partially_verified","insight","冷板及浸没液冷、CDU,数据中心 AI 暴露纯度与收入占比待验证"
"data-center-power","AI 数据中心电力基础设施链","920808","曙光数创","CN","液冷基础设施","direct","","medium","partially_verified","insight","浸没液冷基础设施与高功率数据中心散热升级的传导距离较短;不代表一定受益,仍需通过数据中心项目、客户订单和收入占比验证"
"data-center-power","AI 数据中心电力基础设施链","300602","飞荣达","CN","液冷板 / CDU / 热管理件","indirect","","low","needs_review","insight","液冷板、CDU 及热管理器件,偏材料件 / 通用热管理,数据中心 AI 暴露纯度与收入占比待验证"
"data-center-power","AI 数据中心电力基础设施链","002335","科华数据","CN","UPS / 数据中心电源 / IDC 基础设施","direct","","medium","partially_verified","insight","UPS / 数据中心电源 / IDC 基础设施业务与数据中心供电传导距离短,可作电力基础设施链直接样本;仍看数据中心客户、UPS 订单、IDC 收入与交付验证"
"data-center-power","AI 数据中心电力基础设施链","002028","思源电气","CN","输配电 / 储能","indirect","","medium","partially_verified","insight","输配电、储能与数据中心超级电容,主业电网、数据中心为新方向"
"data-center-power","AI 数据中心电力基础设施链","002851","麦格米特","CN","电源平台","indirect","","medium","partially_verified","insight","电源 + 电控平台,数据中心电源为其分部,占比待验证"
"data-center-power","AI 数据中心电力基础设施链","300068","南都电源","CN","备用电源 / 储能","indirect","","medium","partially_verified","insight","备用电源与储能可服务数据中心,但非最短传导环节,业务易与泛储能混同;先间接更稳。看数据中心备用电源订单、储能项目客户、收入占比"
"data-center-power","AI 数据中心电力基础设施链","002922","伊戈尔","CN","电源 / 变压器 / 磁性器件","indirect","","low","needs_review","insight","电力电子 / 磁性器件相关,但缺明确数据中心供配电客户、订单或收入披露则不上调直接;看数据中心客户、变压器/电源订单验证"
"data-center-power","AI 数据中心电力基础设施链","600875","东方电气","CN","发电装备","sentiment","","low","needs_review","insight","重型燃机 / 核电 / 发电装备,承接「算力耗电→发电需求」宏大叙事,传导链最长、映射最弱,本质是能源装备股"
